National Total	Autonomous Communities and Cities	Index type	Indices and rates	Period	Total
Nacional	01 Andalucía	General	Index	2013QIV	96.389
Nacional	01 Andalucía	General	Index	2013QIII	97.433
Nacional	01 Andalucía	General	Index	2013QII	96.563
Nacional	01 Andalucía	General	Index	2013QI	97.307
Nacional	01 Andalucía	General	Index	2012QIV	102.861
Nacional	01 Andalucía	General	Index	2012QIII	104.624
Nacional	01 Andalucía	General	Index	2012QII	106.719
Nacional	01 Andalucía	General	Index	2012QI	110.865
Nacional	01 Andalucía	General	Index	2011QIV	116.257
Nacional	01 Andalucía	General	Index	2011QIII	119.932
Nacional	01 Andalucía	General	Index	2011QII	122.836
Nacional	01 Andalucía	General	Index	2011QI	122.879
Nacional	01 Andalucía	General	Index	2010QIV	126.862
Nacional	01 Andalucía	General	Index	2010QIII	127.118
Nacional	01 Andalucía	General	Index	2010QII	130.094
Nacional	01 Andalucía	General	Index	2010QI	128.360
Nacional	01 Andalucía	General	Index	2009QIV	129.541
Nacional	01 Andalucía	General	Index	2009QIII	129.930
Nacional	01 Andalucía	General	Index	2009QII	130.679
Nacional	01 Andalucía	General	Index	2009QI	130.500
Nacional	01 Andalucía	General	Index	2008QIV	131.847
Nacional	01 Andalucía	General	Index	2008QIII	135.361
Nacional	01 Andalucía	General	Index	2008QII	135.178
Nacional	01 Andalucía	General	Index	2008QI	135.751
Nacional	01 Andalucía	General	Index	2007QIV	135.785
Nacional	01 Andalucía	General	Index	2007QIII	133.943
Nacional	01 Andalucía	General	Index	2007QII	130.901
Nacional	01 Andalucía	General	Index	2007QI	127.081
Nacional	02 Aragón	General	Index	2025QIII	176.563
Nacional	02 Aragón	General	Index	2025QII	170.432
Nacional	02 Aragón	General	Index	2025QI	162.696
Nacional	02 Aragón	General	Index	2024QIV	156.497
Nacional	02 Aragón	General	Index	2024QIII	154.092
Nacional	02 Aragón	General	Index	2024QII	149.893
Nacional	02 Aragón	General	Index	2024QI	143.668
Nacional	02 Aragón	General	Index	2023QIV	138.068
Nacional	02 Aragón	General	Index	2023QIII	139.690
Nacional	02 Aragón	General	Index	2023QII	136.449
Nacional	02 Aragón	General	Index	2023QI	134.247
Nacional	02 Aragón	General	Index	2022QIV	132.396
Nacional	02 Aragón	General	Index	2022QIII	133.388
Nacional	02 Aragón	General	Index	2022QII	131.950
Nacional	02 Aragón	General	Index	2022QI	130.106
Nacional	02 Aragón	General	Index	2021QIV	126.951
Nacional	02 Aragón	General	Index	2021QIII	125.622
Nacional	02 Aragón	General	Index	2021QII	122.696
Nacional	02 Aragón	General	Index	2021QI	120.807
Nacional	02 Aragón	General	Index	2020QIV	119.395
Nacional	02 Aragón	General	Index	2020QIII	120.261
Nacional	02 Aragón	General	Index	2020QII	119.737
Nacional	02 Aragón	General	Index	2020QI	118.557
Nacional	02 Aragón	General	Index	2019QIV	118.107
Nacional	02 Aragón	General	Index	2019QIII	117.328
Nacional	02 Aragón	General	Index	2019QII	116.219
Nacional	02 Aragón	General	Index	2019QI	114.400
Nacional	02 Aragón	General	Index	2018QIV	111.958
Nacional	02 Aragón	General	Index	2018QIII	110.941
Nacional	02 Aragón	General	Index	2018QII	108.946
Nacional	02 Aragón	General	Index	2018QI	107.505
Nacional	02 Aragón	General	Index	2017QIV	105.419
Nacional	02 Aragón	General	Index	2017QIII	105.181
Nacional	02 Aragón	General	Index	2017QII	104.254
Nacional	02 Aragón	General	Index	2017QI	104.298
Nacional	02 Aragón	General	Index	2016QIV	102.218
Nacional	02 Aragón	General	Index	2016QIII	102.258
Nacional	02 Aragón	General	Index	2016QII	102.571
Nacional	02 Aragón	General	Index	2016QI	100.535
Nacional	02 Aragón	General	Index	2015QIV	99.886
Nacional	02 Aragón	General	Index	2015QIII	100.255
Nacional	02 Aragón	General	Index	2015QII	101.227
Nacional	02 Aragón	General	Index	2015QI	98.632
Nacional	02 Aragón	General	Index	2014QIV	99.233
Nacional	02 Aragón	General	Index	2014QIII	99.341
Nacional	02 Aragón	General	Index	2014QII	99.906
Nacional	02 Aragón	General	Index	2014QI	98.148
Nacional	02 Aragón	General	Index	2013QIV	99.170
Nacional	02 Aragón	General	Index	2013QIII	101.370
Nacional	02 Aragón	General	Index	2013QII	102.236
Nacional	02 Aragón	General	Index	2013QI	103.193
Nacional	02 Aragón	General	Index	2012QIV	113.285
Nacional	02 Aragón	General	Index	2012QIII	114.084
Nacional	02 Aragón	General	Index	2012QII	118.843
Nacional	02 Aragón	General	Index	2012QI	118.835
Nacional	02 Aragón	General	Index	2011QIV	128.457
Nacional	02 Aragón	General	Index	2011QIII	136.197
Nacional	02 Aragón	General	Index	2011QII	139.049
Nacional	02 Aragón	General	Index	2011QI	139.600
Nacional	02 Aragón	General	Index	2010QIV	146.806
Nacional	02 Aragón	General	Index	2010QIII	145.905
Nacional	02 Aragón	General	Index	2010QII	150.299
Nacional	02 Aragón	General	Index	2010QI	148.846
Nacional	02 Aragón	General	Index	2009QIV	153.443
Nacional	02 Aragón	General	Index	2009QIII	155.071
Nacional	02 Aragón	General	Index	2009QII	158.625
Nacional	02 Aragón	General	Index	2009QI	158.726
Nacional	02 Aragón	General	Index	2008QIV	164.638
Nacional	02 Aragón	General	Index	2008QIII	169.486
Nacional	02 Aragón	General	Index	2008QII	176.271
Nacional	02 Aragón	General	Index	2008QI	175.804
Nacional	02 Aragón	General	Index	2007QIV	176.458
Nacional	02 Aragón	General	Index	2007QIII	178.362
Nacional	02 Aragón	General	Index	2007QII	176.576
Nacional	02 Aragón	General	Index	2007QI	175.582
Nacional	03 Asturias, Principado de	General	Index	2025QIII	162.381
Nacional	03 Asturias, Principado de	General	Index	2025QII	158.852
Nacional	03 Asturias, Principado de	General	Index	2025QI	152.219
Nacional	03 Asturias, Principado de	General	Index	2024QIV	146.765
Nacional	03 Asturias, Principado de	General	Index	2024QIII	143.078
Nacional	03 Asturias, Principado de	General	Index	2024QII	139.913
Nacional	03 Asturias, Principado de	General	Index	2024QI	134.630
Nacional	03 Asturias, Principado de	General	Index	2023QIV	131.352
Nacional	03 Asturias, Principado de	General	Index	2023QIII	133.866
