National Total	Autonomous Communities and Cities	Index type	Indices and rates	Period	Total
Nacional	06 Cantabria	General	Index	2009QIV	142.188
Nacional	06 Cantabria	General	Index	2009QIII	143.291
Nacional	06 Cantabria	General	Index	2009QII	143.772
Nacional	06 Cantabria	General	Index	2009QI	144.775
Nacional	06 Cantabria	General	Index	2008QIV	151.289
Nacional	06 Cantabria	General	Index	2008QIII	153.390
Nacional	06 Cantabria	General	Index	2008QII	155.220
Nacional	06 Cantabria	General	Index	2008QI	156.021
Nacional	06 Cantabria	General	Index	2007QIV	155.296
Nacional	06 Cantabria	General	Index	2007QIII	153.597
Nacional	06 Cantabria	General	Index	2007QII	151.655
Nacional	06 Cantabria	General	Index	2007QI	147.993
Nacional	07 Castilla y León	General	Index	2025QIII	162.037
Nacional	07 Castilla y León	General	Index	2025QII	157.423
Nacional	07 Castilla y León	General	Index	2025QI	150.790
Nacional	07 Castilla y León	General	Index	2024QIV	144.488
Nacional	07 Castilla y León	General	Index	2024QIII	141.613
Nacional	07 Castilla y León	General	Index	2024QII	138.609
Nacional	07 Castilla y León	General	Index	2024QI	134.114
Nacional	07 Castilla y León	General	Index	2023QIV	130.679
Nacional	07 Castilla y León	General	Index	2023QIII	131.138
Nacional	07 Castilla y León	General	Index	2023QII	129.698
Nacional	07 Castilla y León	General	Index	2023QI	126.637
Nacional	07 Castilla y León	General	Index	2022QIV	126.291
Nacional	07 Castilla y León	General	Index	2022QIII	127.999
Nacional	07 Castilla y León	General	Index	2022QII	126.114
Nacional	07 Castilla y León	General	Index	2022QI	123.547
Nacional	07 Castilla y León	General	Index	2021QIV	121.361
Nacional	07 Castilla y León	General	Index	2021QIII	120.120
Nacional	07 Castilla y León	General	Index	2021QII	118.515
Nacional	07 Castilla y León	General	Index	2021QI	115.202
Nacional	07 Castilla y León	General	Index	2020QIV	115.164
Nacional	07 Castilla y León	General	Index	2020QIII	115.243
Nacional	07 Castilla y León	General	Index	2020QII	115.509
Nacional	07 Castilla y León	General	Index	2020QI	112.962
Nacional	07 Castilla y León	General	Index	2019QIV	113.657
Nacional	07 Castilla y León	General	Index	2019QIII	112.732
Nacional	07 Castilla y León	General	Index	2019QII	112.193
Nacional	07 Castilla y León	General	Index	2019QI	109.751
Nacional	07 Castilla y León	General	Index	2018QIV	108.253
Nacional	07 Castilla y León	General	Index	2018QIII	108.329
Nacional	07 Castilla y León	General	Index	2018QII	106.521
Nacional	07 Castilla y León	General	Index	2018QI	104.579
Nacional	07 Castilla y León	General	Index	2017QIV	103.363
Nacional	07 Castilla y León	General	Index	2017QIII	102.494
Nacional	07 Castilla y León	General	Index	2017QII	102.645
Nacional	07 Castilla y León	General	Index	2017QI	102.339
Nacional	07 Castilla y León	General	Index	2016QIV	101.056
Nacional	07 Castilla y León	General	Index	2016QIII	101.419
Nacional	07 Castilla y León	General	Index	2016QII	101.504
Nacional	07 Castilla y León	General	Index	2016QI	100.247
Nacional	07 Castilla y León	General	Index	2015QIV	100.280
Nacional	07 Castilla y León	General	Index	2015QIII	100.230
Nacional	07 Castilla y León	General	Index	2015QII	100.950
Nacional	07 Castilla y León	General	Index	2015QI	98.540
Nacional	07 Castilla y León	General	Index	2014QIV	99.349
Nacional	07 Castilla y León	General	Index	2014QIII	98.509
Nacional	07 Castilla y León	General	Index	2014QII	99.529
Nacional	07 Castilla y León	General	Index	2014QI	97.711
Nacional	07 Castilla y León	General	Index	2013QIV	98.528
Nacional	07 Castilla y León	General	Index	2013QIII	101.331
Nacional	07 Castilla y León	General	Index	2013QII	101.460
Nacional	07 Castilla y León	General	Index	2013QI	103.543
Nacional	07 Castilla y León	General	Index	2012QIV	113.533
Nacional	07 Castilla y León	General	Index	2012QIII	114.622
Nacional	07 Castilla y León	General	Index	2012QII	119.053
Nacional	07 Castilla y León	General	Index	2012QI	124.211
Nacional	07 Castilla y León	General	Index	2011QIV	129.587
Nacional	07 Castilla y León	General	Index	2011QIII	136.330
Nacional	07 Castilla y León	General	Index	2011QII	138.492
Nacional	07 Castilla y León	General	Index	2011QI	138.792
Nacional	07 Castilla y León	General	Index	2010QIV	144.755
Nacional	07 Castilla y León	General	Index	2010QIII	143.193
Nacional	07 Castilla y León	General	Index	2010QII	147.404
Nacional	07 Castilla y León	General	Index	2010QI	143.812
Nacional	07 Castilla y León	General	Index	2009QIV	146.719
Nacional	07 Castilla y León	General	Index	2009QIII	148.464
Nacional	07 Castilla y León	General	Index	2009QII	150.232
Nacional	07 Castilla y León	General	Index	2009QI	150.169
Nacional	07 Castilla y León	General	Index	2008QIV	150.524
Nacional	07 Castilla y León	General	Index	2008QIII	152.235
Nacional	07 Castilla y León	General	Index	2008QII	153.905
Nacional	07 Castilla y León	General	Index	2008QI	155.332
Nacional	07 Castilla y León	General	Index	2007QIV	154.401
Nacional	07 Castilla y León	General	Index	2007QIII	151.760
Nacional	07 Castilla y León	General	Index	2007QII	148.470
Nacional	07 Castilla y León	General	Index	2007QI	144.624
Nacional	08 Castilla - La Mancha	General	Index	2025QIII	145.063
Nacional	08 Castilla - La Mancha	General	Index	2025QII	141.709
Nacional	08 Castilla - La Mancha	General	Index	2025QI	136.159
Nacional	08 Castilla - La Mancha	General	Index	2024QIV	131.455
Nacional	08 Castilla - La Mancha	General	Index	2024QIII	129.997
Nacional	08 Castilla - La Mancha	General	Index	2024QII	127.322
Nacional	08 Castilla - La Mancha	General	Index	2024QI	123.353
Nacional	08 Castilla - La Mancha	General	Index	2023QIV	120.963
Nacional	08 Castilla - La Mancha	General	Index	2023QIII	121.611
Nacional	08 Castilla - La Mancha	General	Index	2023QII	120.939
Nacional	08 Castilla - La Mancha	General	Index	2023QI	117.560
Nacional	08 Castilla - La Mancha	General	Index	2022QIV	118.496
Nacional	08 Castilla - La Mancha	General	Index	2022QIII	120.366
Nacional	08 Castilla - La Mancha	General	Index	2022QII	118.588
Nacional	08 Castilla - La Mancha	General	Index	2022QI	115.686
Nacional	08 Castilla - La Mancha	General	Index	2021QIV	113.907
Nacional	08 Castilla - La Mancha	General	Index	2021QIII	112.940
Nacional	08 Castilla - La Mancha	General	Index	2021QII	111.840
Nacional	08 Castilla - La Mancha	General	Index	2021QI	107.989
Nacional	08 Castilla - La Mancha	General	Index	2020QIV	109.532
Nacional	08 Castilla - La Mancha	General	Index	2020QIII	109.655
Nacional	08 Castilla - La Mancha	General	Index	2020QII	109.242
Nacional	08 Castilla - La Mancha	General	Index	2020QI	107.689
Nacional	08 Castilla - La Mancha	General	Index	2019QIV	108.241
Nacional	08 Castilla - La Mancha	General	Index	2019QIII	108.160
Nacional	08 Castilla - La Mancha	General	Index	2019QII	107.576
Nacional	08 Castilla - La Mancha	General	Index	2019QI	106.595
Nacional	08 Castilla - La Mancha	General	Index	2018QIV	105.067
Nacional	08 Castilla - La Mancha	General	Index	2018QIII	104.912
Nacional	08 Castilla - La Mancha	General	Index	2018QII	103.544
Nacional	08 Castilla - La Mancha	General	Index	2018QI	102.378
Nacional	08 Castilla - La Mancha	General	Index	2017QIV	100.939
Nacional	08 Castilla - La Mancha	General	Index	2017QIII	101.655
Nacional	08 Castilla - La Mancha	General	Index	2017QII	102.039
Nacional	08 Castilla - La Mancha	General	Index	2017QI	101.696
Nacional	08 Castilla - La Mancha	General	Index	2016QIV	100.508
Nacional	08 Castilla - La Mancha	General	Index	2016QIII	101.482
Nacional	08 Castilla - La Mancha	General	Index	2016QII	101.273
Nacional	08 Castilla - La Mancha	General	Index	2016QI	100.087
Nacional	08 Castilla - La Mancha	General	Index	2015QIV	100.497
Nacional	08 Castilla - La Mancha	General	Index	2015QIII	100.191
Nacional	08 Castilla - La Mancha	General	Index	2015QII	100.683
Nacional	08 Castilla - La Mancha	General	Index	2015QI	98.629
Nacional	08 Castilla - La Mancha	General	Index	2014QIV	98.392
Nacional	08 Castilla - La Mancha	General	Index	2014QIII	97.270
Nacional	08 Castilla - La Mancha	General	Index	2014QII	98.856
Nacional	08 Castilla - La Mancha	General	Index	2014QI	96.864
Nacional	08 Castilla - La Mancha	General	Index	2013QIV	97.994
Nacional	08 Castilla - La Mancha	General	Index	2013QIII	100.517
Nacional	08 Castilla - La Mancha	General	Index	2013QII	100.477
Nacional	08 Castilla - La Mancha	General	Index	2013QI	103.094
Nacional	08 Castilla - La Mancha	General	Index	2012QIV	115.185
Nacional	08 Castilla - La Mancha	General	Index	2012QIII	115.386
Nacional	08 Castilla - La Mancha	General	Index	2012QII	119.785
Nacional	08 Castilla - La Mancha	General	Index	2012QI	123.417
Nacional	08 Castilla - La Mancha	General	Index	2011QIV	129.704
Nacional	08 Castilla - La Mancha	General	Index	2011QIII	133.805
Nacional	08 Castilla - La Mancha	General	Index	2011QII	135.457
Nacional	08 Castilla - La Mancha	General	Index	2011QI	136.817
Nacional	08 Castilla - La Mancha	General	Index	2010QIV	142.289
Nacional	08 Castilla - La Mancha	General	Index	2010QIII	141.066
Nacional	08 Castilla - La Mancha	General	Index	2010QII	146.121
Nacional	08 Castilla - La Mancha	General	Index	2010QI	143.071
Nacional	08 Castilla - La Mancha	General	Index	2009QIV	143.468
Nacional	08 Castilla - La Mancha	General	Index	2009QIII	144.502
Nacional	08 Castilla - La Mancha	General	Index	2009QII	145.479
Nacional	08 Castilla - La Mancha	General	Index	2009QI	145.630
Nacional	08 Castilla - La Mancha	General	Index	2008QIV	146.557
Nacional	08 Castilla - La Mancha	General	Index	2008QIII	150.271
Nacional	08 Castilla - La Mancha	General	Index	2008QII	150.768
Nacional	08 Castilla - La Mancha	General	Index	2008QI	149.291
Nacional	08 Castilla - La Mancha	General	Index	2007QIV	148.855
Nacional	08 Castilla - La Mancha	General	Index	2007QIII	148.263
Nacional	08 Castilla - La Mancha	General	Index	2007QII	145.683
Nacional	08 Castilla - La Mancha	General	Index	2007QI	142.158
Nacional	09 Cataluña	General	Index	2025QIII	190.561
Nacional	09 Cataluña	General	Index	2025QII	185.881
Nacional	09 Cataluña	General	Index	2025QI	180.959
Nacional	09 Cataluña	General	Index	2024QIV	174.491
Nacional	09 Cataluña	General	Index	2024QIII	171.230
Nacional	09 Cataluña	General	Index	2024QII	166.573
Nacional	09 Cataluña	General	Index	2024QI	162.075
Nacional	09 Cataluña	General	Index	2023QIV	158.037
Nacional	09 Cataluña	General	Index	2023QIII	160.395
Nacional	09 Cataluña	General	Index	2023QII	156.147
Nacional	09 Cataluña	General	Index	2023QI	153.461
Nacional	09 Cataluña	General	Index	2022QIV	152.647
Nacional	09 Cataluña	General	Index	2022QIII	154.552
Nacional	09 Cataluña	General	Index	2022QII	151.314
Nacional	09 Cataluña	General	Index	2022QI	148.291
Nacional	09 Cataluña	General	Index	2021QIV	144.743
Nacional	09 Cataluña	General	Index	2021QIII	142.940
Nacional	09 Cataluña	General	Index	2021QII	141.133
Nacional	09 Cataluña	General	Index	2021QI	137.675
Nacional	09 Cataluña	General	Index	2020QIV	136.461
Nacional	09 Cataluña	General	Index	2020QIII	138.395
Nacional	09 Cataluña	General	Index	2020QII	136.693
Nacional	09 Cataluña	General	Index	2020QI	136.020
Nacional	09 Cataluña	General	Index	2019QIV	135.113
Nacional	09 Cataluña	General	Index	2019QIII	136.037
Nacional	09 Cataluña	General	Index	2019QII	133.590
Nacional	09 Cataluña	General	Index	2019QI	131.836
Nacional	09 Cataluña	General	Index	2018QIV	130.708
Nacional	09 Cataluña	General	Index	2018QIII	129.967
Nacional	09 Cataluña	General	Index	2018QII	127.004
Nacional	09 Cataluña	General	Index	2018QI	122.514
Nacional	09 Cataluña	General	Index	2017QIV	120.858
Nacional	09 Cataluña	General	Index	2017QIII	119.167
Nacional	09 Cataluña	General	Index	2017QII	116.165
Nacional	09 Cataluña	General	Index	2017QI	112.848
Nacional	09 Cataluña	General	Index	2016QIV	109.666
Nacional	09 Cataluña	General	Index	2016QIII	108.383
Nacional	09 Cataluña	General	Index	2016QII	106.291
Nacional	09 Cataluña	General	Index	2016QI	103.741
Nacional	09 Cataluña	General	Index	2015QIV	102.068
Nacional	09 Cataluña	General	Index	2015QIII	101.643
Nacional	09 Cataluña	General	Index	2015QII	100.740
Nacional	09 Cataluña	General	Index	2015QI	95.549
Nacional	09 Cataluña	General	Index	2014QIV	96.421
Nacional	09 Cataluña	General	Index	2014QIII	95.813
Nacional	09 Cataluña	General	Index	2014QII	95.514
Nacional	09 Cataluña	General	Index	2014QI	93.836
Nacional	09 Cataluña	General	Index	2013QIV	94.327
Nacional	09 Cataluña	General	Index	2013QIII	94.755
Nacional	09 Cataluña	General	Index	2013QII	94.031
Nacional	09 Cataluña	General	Index	2013QI	94.236
Nacional	09 Cataluña	General	Index	2012QIV	101.632
Nacional	09 Cataluña	General	Index	2012QIII	103.095
Nacional	09 Cataluña	General	Index	2012QII	108.557
Nacional	09 Cataluña	General	Index	2012QI	112.769
Nacional	09 Cataluña	General	Index	2011QIV	118.615
Nacional	09 Cataluña	General	Index	2011QIII	124.828
Nacional	09 Cataluña	General	Index	2011QII	130.068
Nacional	09 Cataluña	General	Index	2011QI	132.578
Nacional	09 Cataluña	General	Index	2010QIV	138.422
Nacional	09 Cataluña	General	Index	2010QIII	139.219
Nacional	09 Cataluña	General	Index	2010QII	141.694
Nacional	09 Cataluña	General	Index	2010QI	140.235
Nacional	09 Cataluña	General	Index	2009QIV	142.339
Nacional	09 Cataluña	General	Index	2009QIII	142.467
Nacional	09 Cataluña	General	Index	2009QII	144.561
Nacional	09 Cataluña	General	Index	2009QI	145.496
Nacional	09 Cataluña	General	Index	2008QIV	153.096
Nacional	09 Cataluña	General	Index	2008QIII	160.411
Nacional	09 Cataluña	General	Index	2008QII	166.667
Nacional	09 Cataluña	General	Index	2008QI	168.620
Nacional	09 Cataluña	General	Index	2007QIV	170.591
Nacional	09 Cataluña	General	Index	2007QIII	174.880
Nacional	09 Cataluña	General	Index	2007QII	175.835
Nacional	09 Cataluña	General	Index	2007QI	170.691
Nacional	10 Comunitat Valenciana	General	Index	2025QIII	170.956
Nacional	10 Comunitat Valenciana	General	Index	2025QII	165.435
Nacional	10 Comunitat Valenciana	General	Index	2025QI	158.202
Nacional	10 Comunitat Valenciana	General	Index	2024QIV	154.122
Nacional	10 Comunitat Valenciana	General	Index	2024QIII	151.002
Nacional	10 Comunitat Valenciana	General	Index	2024QII	146.950
Nacional	10 Comunitat Valenciana	General	Index	2024QI	140.857
Nacional	10 Comunitat Valenciana	General	Index	2023QIV	137.366
Nacional	10 Comunitat Valenciana	General	Index	2023QIII	138.773
Nacional	10 Comunitat Valenciana	General	Index	2023QII	135.280
Nacional	10 Comunitat Valenciana	General	Index	2023QI	132.264
Nacional	10 Comunitat Valenciana	General	Index	2022QIV	131.774
Nacional	10 Comunitat Valenciana	General	Index	2022QIII	132.058
Nacional	10 Comunitat Valenciana	General	Index	2022QII	130.746
Nacional	10 Comunitat Valenciana	General	Index	2022QI	127.966
Nacional	10 Comunitat Valenciana	General	Index	2021QIV	125.433
Nacional	10 Comunitat Valenciana	General	Index	2021QIII	123.520
Nacional	10 Comunitat Valenciana	General	Index	2021QII	121.046
Nacional	10 Comunitat Valenciana	General	Index	2021QI	117.465
Nacional	10 Comunitat Valenciana	General	Index	2020QIV	117.481
Nacional	10 Comunitat Valenciana	General	Index	2020QIII	117.677
Nacional	10 Comunitat Valenciana	General	Index	2020QII	116.038
Nacional	10 Comunitat Valenciana	General	Index	2020QI	116.059
Nacional	10 Comunitat Valenciana	General	Index	2019QIV	115.562
Nacional	10 Comunitat Valenciana	General	Index	2019QIII	115.325
Nacional	10 Comunitat Valenciana	General	Index	2019QII	114.209
Nacional	10 Comunitat Valenciana	General	Index	2019QI	112.128
Nacional	10 Comunitat Valenciana	General	Index	2018QIV	111.364
Nacional	10 Comunitat Valenciana	General	Index	2018QIII	110.662
Nacional	10 Comunitat Valenciana	General	Index	2018QII	109.036
Nacional	10 Comunitat Valenciana	General	Index	2018QI	107.643
Nacional	10 Comunitat Valenciana	General	Index	2017QIV	106.925
Nacional	10 Comunitat Valenciana	General	Index	2017QIII	105.721
Nacional	10 Comunitat Valenciana	General	Index	2017QII	104.811
Nacional	10 Comunitat Valenciana	General	Index	2017QI	104.081
Nacional	10 Comunitat Valenciana	General	Index	2016QIV	102.668
Nacional	10 Comunitat Valenciana	General	Index	2016QIII	102.700
Nacional	10 Comunitat Valenciana	General	Index	2016QII	102.913
Nacional	10 Comunitat Valenciana	General	Index	2016QI	102.167
Nacional	10 Comunitat Valenciana	General	Index	2015QIV	100.918
Nacional	10 Comunitat Valenciana	General	Index	2015QIII	100.800
Nacional	10 Comunitat Valenciana	General	Index	2015QII	101.074
Nacional	10 Comunitat Valenciana	General	Index	2015QI	97.208
Nacional	10 Comunitat Valenciana	General	Index	2014QIV	98.015
Nacional	10 Comunitat Valenciana	General	Index	2014QIII	98.762
Nacional	10 Comunitat Valenciana	General	Index	2014QII	98.408
Nacional	10 Comunitat Valenciana	General	Index	2014QI	95.453
Nacional	10 Comunitat Valenciana	General	Index	2013QIV	95.391
Nacional	10 Comunitat Valenciana	General	Index	2013QIII	97.859
Nacional	10 Comunitat Valenciana	General	Index	2013QII	96.157
Nacional	10 Comunitat Valenciana	General	Index	2013QI	97.954
Nacional	10 Comunitat Valenciana	General	Index	2012QIV	101.888
Nacional	10 Comunitat Valenciana	General	Index	2012QIII	104.218
Nacional	10 Comunitat Valenciana	General	Index	2012QII	107.770
Nacional	10 Comunitat Valenciana	General	Index	2012QI	111.900
Nacional	10 Comunitat Valenciana	General	Index	2011QIV	118.460
Nacional	10 Comunitat Valenciana	General	Index	2011QIII	121.236
Nacional	10 Comunitat Valenciana	General	Index	2011QII	125.625
Nacional	10 Comunitat Valenciana	General	Index	2011QI	127.294
Nacional	10 Comunitat Valenciana	General	Index	2010QIV	131.259
Nacional	10 Comunitat Valenciana	General	Index	2010QIII	132.307
Nacional	10 Comunitat Valenciana	General	Index	2010QII	135.343
Nacional	10 Comunitat Valenciana	General	Index	2010QI	133.170
Nacional	10 Comunitat Valenciana	General	Index	2009QIV	135.781
Nacional	10 Comunitat Valenciana	General	Index	2009QIII	136.444
Nacional	10 Comunitat Valenciana	General	Index	2009QII	138.074
Nacional	10 Comunitat Valenciana	General	Index	2009QI	138.894
Nacional	10 Comunitat Valenciana	General	Index	2008QIV	142.711
Nacional	10 Comunitat Valenciana	General	Index	2008QIII	145.333
Nacional	10 Comunitat Valenciana	General	Index	2008QII	146.262
Nacional	10 Comunitat Valenciana	General	Index	2008QI	146.519
Nacional	10 Comunitat Valenciana	General	Index	2007QIV	145.844
Nacional	10 Comunitat Valenciana	General	Index	2007QIII	144.180
Nacional	10 Comunitat Valenciana	General	Index	2007QII	141.929
Nacional	10 Comunitat Valenciana	General	Index	2007QI	137.102
Nacional	11 Extremadura	General	Index	2025QIII	143.251
Nacional	11 Extremadura	General	Index	2025QII	139.216
Nacional	11 Extremadura	General	Index	2025QI	133.037
Nacional	11 Extremadura	General	Index	2024QIV	128.070
Nacional	11 Extremadura	General	Index	2024QIII	127.293
Nacional	11 Extremadura	General	Index	2024QII	124.125
Nacional	11 Extremadura	General	Index	2024QI	119.938
Nacional	11 Extremadura	General	Index	2023QIV	117.381
Nacional	11 Extremadura	General	Index	2023QIII	117.644
Nacional	11 Extremadura	General	Index	2023QII	116.912
Nacional	11 Extremadura	General	Index	2023QI	113.518
Nacional	11 Extremadura	General	Index	2022QIV	114.850
Nacional	11 Extremadura	General	Index	2022QIII	116.414
Nacional	11 Extremadura	General	Index	2022QII	114.871
Nacional	11 Extremadura	General	Index	2022QI	112.312
Nacional	11 Extremadura	General	Index	2021QIV	111.719
Nacional	11 Extremadura	General	Index	2021QIII	109.277
Nacional	11 Extremadura	General	Index	2021QII	109.052
Nacional	11 Extremadura	General	Index	2021QI	105.038
Nacional	11 Extremadura	General	Index	2020QIV	106.508
Nacional	11 Extremadura	General	Index	2020QIII	106.236
Nacional	11 Extremadura	General	Index	2020QII	107.257
Nacional	11 Extremadura	General	Index	2020QI	105.234
Nacional	11 Extremadura	General	Index	2019QIV	106.046
Nacional	11 Extremadura	General	Index	2019QIII	106.237
Nacional	11 Extremadura	General	Index	2019QII	105.896
Nacional	11 Extremadura	General	Index	2019QI	104.880
Nacional	11 Extremadura	General	Index	2018QIV	103.768
Nacional	11 Extremadura	General	Index	2018QIII	104.670
Nacional	11 Extremadura	General	Index	2018QII	104.122
Nacional	11 Extremadura	General	Index	2018QI	102.388
Nacional	11 Extremadura	General	Index	2017QIV	101.075
Nacional	11 Extremadura	General	Index	2017QIII	102.398
Nacional	11 Extremadura	General	Index	2017QII	101.886
Nacional	11 Extremadura	General	Index	2017QI	102.040
Nacional	11 Extremadura	General	Index	2016QIV	100.885
Nacional	11 Extremadura	General	Index	2016QIII	102.371
Nacional	11 Extremadura	General	Index	2016QII	101.524
Nacional	11 Extremadura	General	Index	2016QI	100.939
Nacional	11 Extremadura	General	Index	2015QIV	100.094
Nacional	11 Extremadura	General	Index	2015QIII	100.398
Nacional	11 Extremadura	General	Index	2015QII	100.233
Nacional	11 Extremadura	General	Index	2015QI	99.275
Nacional	11 Extremadura	General	Index	2014QIV	97.574
Nacional	11 Extremadura	General	Index	2014QIII	97.160
Nacional	11 Extremadura	General	Index	2014QII	99.326
Nacional	11 Extremadura	General	Index	2014QI	98.443
Nacional	11 Extremadura	General	Index	2013QIV	98.279
Nacional	11 Extremadura	General	Index	2013QIII	101.848
Nacional	11 Extremadura	General	Index	2013QII	102.923
Nacional	11 Extremadura	General	Index	2013QI	106.375
Nacional	11 Extremadura	General	Index	2012QIV	116.527
Nacional	11 Extremadura	General	Index	2012QIII	118.487
Nacional	11 Extremadura	General	Index	2012QII	122.018
Nacional	11 Extremadura	General	Index	2012QI	123.230
Nacional	11 Extremadura	General	Index	2011QIV	127.530
Nacional	11 Extremadura	General	Index	2011QIII	131.290
Nacional	11 Extremadura	General	Index	2011QII	131.731
Nacional	11 Extremadura	General	Index	2011QI	132.502
Nacional	11 Extremadura	General	Index	2010QIV	138.621
Nacional	11 Extremadura	General	Index	2010QIII	137.766
Nacional	11 Extremadura	General	Index	2010QII	142.948
Nacional	11 Extremadura	General	Index	2010QI	137.657
Nacional	11 Extremadura	General	Index	2009QIV	136.367
Nacional	11 Extremadura	General	Index	2009QIII	138.991
Nacional	11 Extremadura	General	Index	2009QII	138.829
Nacional	11 Extremadura	General	Index	2009QI	134.852
Nacional	11 Extremadura	General	Index	2008QIV	133.827
Nacional	11 Extremadura	General	Index	2008QIII	139.199
Nacional	11 Extremadura	General	Index	2008QII	140.231
Nacional	11 Extremadura	General	Index	2008QI	137.882
Nacional	11 Extremadura	General	Index	2007QIV	136.545
Nacional	11 Extremadura	General	Index	2007QIII	135.214
Nacional	11 Extremadura	General	Index	2007QII	133.609
Nacional	11 Extremadura	General	Index	2007QI	128.926
Nacional	12 Galicia	General	Index	2025QIII	164.069
Nacional	12 Galicia	General	Index	2025QII	158.913
Nacional	12 Galicia	General	Index	2025QI	151.721
Nacional	12 Galicia	General	Index	2024QIV	146.552
Nacional	12 Galicia	General	Index	2024QIII	144.703
Nacional	12 Galicia	General	Index	2024QII	140.946
Nacional	12 Galicia	General	Index	2024QI	136.417
Nacional	12 Galicia	General	Index	2023QIV	132.570
Nacional	12 Galicia	General	Index	2023QIII	134.796
Nacional	12 Galicia	General	Index	2023QII	132.073
Nacional	12 Galicia	General	Index	2023QI	129.786
Nacional	12 Galicia	General	Index	2022QIV	128.172
Nacional	12 Galicia	General	Index	2022QIII	128.919
Nacional	12 Galicia	General	Index	2022QII	128.080
Nacional	12 Galicia	General	Index	2022QI	125.568
Nacional	12 Galicia	General	Index	2021QIV	122.678
Nacional	12 Galicia	General	Index	2021QIII	121.530
Nacional	12 Galicia	General	Index	2021QII	118.952
Nacional	12 Galicia	General	Index	2021QI	115.961
Nacional	12 Galicia	General	Index	2020QIV	114.833
Nacional	12 Galicia	General	Index	2020QIII	114.881
Nacional	12 Galicia	General	Index	2020QII	114.935
Nacional	12 Galicia	General	Index	2020QI	113.415
Nacional	12 Galicia	General	Index	2019QIV	113.514
Nacional	12 Galicia	General	Index	2019QIII	112.716
Nacional	12 Galicia	General	Index	2019QII	111.946
Nacional	12 Galicia	General	Index	2019QI	109.816
Nacional	12 Galicia	General	Index	2018QIV	109.235
Nacional	12 Galicia	General	Index	2018QIII	108.643
Nacional	12 Galicia	General	Index	2018QII	106.771
Nacional	12 Galicia	General	Index	2018QI	106.043
Nacional	12 Galicia	General	Index	2017QIV	104.973
Nacional	12 Galicia	General	Index	2017QIII	104.396
Nacional	12 Galicia	General	Index	2017QII	102.744
Nacional	12 Galicia	General	Index	2017QI	102.753
Nacional	12 Galicia	General	Index	2016QIV	102.027
Nacional	12 Galicia	General	Index	2016QIII	102.621
Nacional	12 Galicia	General	Index	2016QII	101.768
Nacional	12 Galicia	General	Index	2016QI	101.412
Nacional	12 Galicia	General	Index	2015QIV	99.954
Nacional	12 Galicia	General	Index	2015QIII	101.341
Nacional	12 Galicia	General	Index	2015QII	100.529
Nacional	12 Galicia	General	Index	2015QI	98.176
Nacional	12 Galicia	General	Index	2014QIV	98.318
Nacional	12 Galicia	General	Index	2014QIII	98.902
Nacional	12 Galicia	General	Index	2014QII	99.732
Nacional	12 Galicia	General	Index	2014QI	97.668
Nacional	12 Galicia	General	Index	2013QIV	97.337
Nacional	12 Galicia	General	Index	2013QIII	100.894
Nacional	12 Galicia	General	Index	2013QII	99.665
Nacional	12 Galicia	General	Index	2013QI	101.441
Nacional	12 Galicia	General	Index	2012QIV	109.198
Nacional	12 Galicia	General	Index	2012QIII	108.648
Nacional	12 Galicia	General	Index	2012QII	114.500
Nacional	12 Galicia	General	Index	2012QI	117.192
Nacional	12 Galicia	General	Index	2011QIV	124.974
Nacional	12 Galicia	General	Index	2011QIII	128.343
Nacional	12 Galicia	General	Index	2011QII	131.202
Nacional	12 Galicia	General	Index	2011QI	131.894
Nacional	12 Galicia	General	Index	2010QIV	135.699
Nacional	12 Galicia	General	Index	2010QIII	133.637
Nacional	12 Galicia	General	Index	2010QII	138.785
Nacional	12 Galicia	General	Index	2010QI	135.923
Nacional	12 Galicia	General	Index	2009QIV	137.605
Nacional	12 Galicia	General	Index	2009QIII	138.109
Nacional	12 Galicia	General	Index	2009QII	139.875
Nacional	12 Galicia	General	Index	2009QI	139.291
Nacional	12 Galicia	General	Index	2008QIV	139.658
Nacional	12 Galicia	General	Index	2008QIII	140.975
Nacional	12 Galicia	General	Index	2008QII	141.072
Nacional	12 Galicia	General	Index	2008QI	140.052
Nacional	12 Galicia	General	Index	2007QIV	140.231
Nacional	12 Galicia	General	Index	2007QIII	137.692
Nacional	12 Galicia	General	Index	2007QII	134.662
Nacional	12 Galicia	General	Index	2007QI	130.573
Nacional	13 Madrid, Comunidad de	General	Index	2025QIII	204.059
Nacional	13 Madrid, Comunidad de	General	Index	2025QII	197.688
Nacional	13 Madrid, Comunidad de	General	Index	2025QI	188.426
Nacional	13 Madrid, Comunidad de	General	Index	2024QIV	181.836
Nacional	13 Madrid, Comunidad de	General	Index	2024QIII	178.650
Nacional	13 Madrid, Comunidad de	General	Index	2024QII	174.536
Nacional	13 Madrid, Comunidad de	General	Index	2024QI	168.785
Nacional	13 Madrid, Comunidad de	General	Index	2023QIV	164.821
Nacional	13 Madrid, Comunidad de	General	Index	2023QIII	166.589
Nacional	13 Madrid, Comunidad de	General	Index	2023QII	162.841
Nacional	13 Madrid, Comunidad de	General	Index	2023QI	159.407
Nacional	13 Madrid, Comunidad de	General	Index	2022QIV	157.779
Nacional	13 Madrid, Comunidad de	General	Index	2022QIII	160.024
Nacional	13 Madrid, Comunidad de	General	Index	2022QII	156.460
Nacional	13 Madrid, Comunidad de	General	Index	2022QI	154.666
