STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES21,País Vasco,2022,,7.3,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES21,País Vasco,2023,,5.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES21,País Vasco,2024,,6.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES21,País Vasco,2025,,4.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES22,Comunidad Foral de Navarra,2021,,6.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES22,Comunidad Foral de Navarra,2022,,8.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES22,Comunidad Foral de Navarra,2023,,9.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES22,Comunidad Foral de Navarra,2024,,7.3,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES22,Comunidad Foral de Navarra,2025,,3.5,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES23,La Rioja,2021,,8.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES23,La Rioja,2022,,6.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES23,La Rioja,2023,,5.5,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES23,La Rioja,2024,,4.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES23,La Rioja,2025,,6.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES24,Aragón,2021,,6.7,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES24,Aragón,2022,,6.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES24,Aragón,2023,,7.6,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES24,Aragón,2024,,4.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES24,Aragón,2025,,4.4,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES3,Comunidad de Madrid,2021,,13.4,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES3,Comunidad de Madrid,2022,,12.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES3,Comunidad de Madrid,2023,,9.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES3,Comunidad de Madrid,2024,,11.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES3,Comunidad de Madrid,2025,,9.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES30,Comunidad de Madrid,2021,,13.4,,,,,
